AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.AirHockey,2018-02-01T16:50:08.1454908Z,2018-02-01T16:52:55.836Z,4c347a9e-6d35-41a0-b895-3e3141c053fd,16.83,2.79,36.0,16
Dotyk.Application.AirHockey,2018-02-01T16:53:00.4601038Z,2018-02-01T17:05:50.895Z,4367e365-98e5-4f4e-97b8-7e785ab723ed,16.88,12.84,36.0,16
Dotyk.Application.AirHockey,2018-02-01T16:53:58.428853Z,2018-02-01T17:21:54.648Z,afafd1d1-90c1-4293-b89b-1b144e9a3c0e,16.88,27.94,175.0,16
Dotyk.Application.AirHockey,2018-02-01T16:55:55.8843323Z,2018-02-01T17:03:47.783Z,ea49e4ae-5e5d-4cfe-a9a1-ef3ac040394c,16.92,7.86,129.0,16
Dotyk.Application.AirHockey,2018-02-01T16:56:00.6675235Z,2018-02-01T16:57:21.169Z,23b63dae-54cd-4a05-9e10-bbc494179e85,16.93,1.34,115.0,16
Dotyk.Application.Paint,2018-02-01T17:04:34.2372182Z,2018-02-01T17:06:36.722Z,6382539a-2c66-4132-a0b2-b965d032e337,17.07,2.04,115.0,17
Dotyk.Application.Paint,2018-02-01T17:06:02.080957Z,2018-02-01T17:21:47.907Z,8840ff3e-6b1f-459b-aa91-6931a1c89f55,17.1,15.76,129.0,17
Dotyk.Application.JigsawPuzzle,2018-02-01T17:08:34.943679Z,2018-02-01T17:12:15.696Z,63945ba4-623d-4850-9fcd-8d5e35550586,17.13,3.68,115.0,17
Dotyk.Application.Paint,2018-02-01T17:10:02.0136342Z,2018-02-01T17:38:19.335Z,4bb12c2d-7752-4615-837e-4931639c364f,17.17,28.29,89.0,17
Dotyk.Application.Restaurant,2018-02-01T17:22:32.8293831Z,2018-02-01T18:34:33.407Z,dbd8c5ee-9b9d-426f-9c7b-c7867f87b848,17.37,72.01,129.0,17
Dotyk.Application.AirHockey,2018-02-01T17:23:11.9892504Z,2018-02-01T17:35:42.774Z,26973728-7a01-4efb-80e7-c6dce82221ca,17.38,12.51,129.0,17
Dotyk.Application.JigsawPuzzle,2018-02-01T17:35:53.9322983Z,2018-02-01T18:05:20.694Z,dfa57691-c627-4361-8824-7b81aa004823,17.58,29.45,129.0,17
Dotyk.Application.JigsawPuzzle,2018-02-01T17:36:02.3628436Z,2018-02-01T18:05:39.995Z,354f2c86-1489-4181-b2b2-4cbd048712e6,17.6,29.63,175.0,17
Dotyk.Application.PhotoShare,2018-02-01T17:36:22.4016261Z,2018-02-01T18:05:57.551Z,5ec1b1f1-fb0d-4d85-b483-948206a67e49,17.6,29.59,19.0,17
